,ClassNumber,ClassLetter,Subgroup,LessonName,TeacherID,Week,Weekday,StartHour,StartMinute,EndHour,EndMinute,Room,Required,Teacher
277,9,А,англ. Светлана Николаевна,информатика и ИКТ,1,0,1,11,40,12,20,15,True,
278,9,А,англ. Татьяна Петровна,информатика и ИКТ,1,0,1,12,30,13,10,,True,
279,9,А,англ. Светлана Николаевна,информатика и ИКТ,1,0,1,12,30,13,10,,True,
280,9,Б,англ. Татьяна Петровна,литература,1,0,1,11,40,12,20,5,True,
281,9,Б,англ. Светлана Николаевна,литература,1,0,1,11,40,12,20,5,True,
282,9,Б,англ. Татьяна Петровна,литература,1,0,1,12,30,13,10,,True,
283,9,Б,англ. Светлана Николаевна,литература,1,0,1,12,30,13,10,,True,
284,9,В,англ. Татьяна Петровна,алгебра,1,0,1,11,40,12,20,11,True,
285,9,В,англ. Светлана Николаевна,алгебра,1,0,1,11,40,12,20,11,True,
286,9,В,англ. Татьяна Петровна,алгебра,1,0,1,12,30,13,10,,True,
287,9,В,англ. Светлана Николаевна,алгебра,1,0,1,12,30,13,10,,True,
288,10,А,англ. Татьяна Петровна,английский язык,1,0,1,11,40,12,20,8,True,
289,10,А,англ. Светлана Николаевна,английский язык,1,0,1,11,40,12,20,9,True,
290,10,А,англ. Татьяна Петровна,английский язык,1,0,1,12,30,13,10,,True,
291,10,А,англ. Светлана Николаевна,английский язык,1,0,1,12,30,13,10,,True,
292,10,Б,англ. Татьяна Петровна,физика,1,0,1,11,40,12,20,14,True,
293,10,Б,англ. Светлана Николаевна,физика,1,0,1,11,40,12,20,14,True,
294,10,Б,англ. Татьяна Петровна,физика,1,0,1,12,30,13,10,,True,
295,10,Б,англ. Светлана Николаевна,физика,1,0,1,12,30,13,10,,True,
296,10,В,англ. Татьяна Петровна,геометрия,1,0,1,11,40,12,20,11,True,
297,10,В,англ. Светлана Николаевна,геометрия,1,0,1,11,40,12,20,11,True,
298,10,В,англ. Татьяна Петровна,геометрия,1,0,1,12,30,13,10,,True,
299,10,В,англ. Светлана Николаевна,геометрия,1,0,1,12,30,13,10,,True,
300,11,А,англ. Татьяна Петровна,обществознание,1,0,1,11,40,12,20,4,True,
301,11,А,англ. Светлана Николаевна,обществознание,1,0,1,11,40,12,20,4,True,
302,11,А,англ. Татьяна Петровна,обществознание,1,0,1,12,30,13,10,,True,
303,11,А,англ. Светлана Николаевна,обществознание,1,0,1,12,30,13,10,,True,
304,11,Б,англ. Татьяна Петровна,русский язык,1,0,1,11,40,12,20,12,True,
305,11,Б,англ. Светлана Николаевна,русский язык,1,0,1,11,40,12,20,12,True,
306,11,Б,англ. Татьяна Петровна,русский язык,1,0,1,12,30,13,10,,True,
307,11,Б,англ. Светлана Николаевна,русский язык,1,0,1,12,30,13,10,,True,
308,11,В,англ. Татьяна Петровна,биология,1,0,1,11,40,12,20,6,True,
309,11,В,англ. Светлана Николаевна,биология,1,0,1,11,40,12,20,6,True,
310,11,В,англ. Татьяна Петровна,биология,1,0,1,12,30,13,10,,True,
